image_path,file_name,source_label,phase
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/0.png,0.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1.png,1.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/10.png,10.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/100.png,100.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1000.png,1000.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1001.png,1001.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1002.png,1002.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1003.png,1003.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1004.png,1004.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1005.png,1005.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1006.png,1006.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1007.png,1007.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1008.png,1008.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1009.png,1009.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/101.png,101.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1010.png,1010.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1011.png,1011.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1012.png,1012.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1013.png,1013.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1014.png,1014.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1015.png,1015.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1016.png,1016.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1017.png,1017.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1018.png,1018.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1019.png,1019.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/102.png,102.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1020.png,1020.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1021.png,1021.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1022.png,1022.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1023.png,1023.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1024.png,1024.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1025.png,1025.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1026.png,1026.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1027.png,1027.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1028.png,1028.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1029.png,1029.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/103.png,103.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1030.png,1030.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1031.png,1031.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1032.png,1032.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1033.png,1033.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1034.png,1034.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1035.png,1035.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1036.png,1036.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1037.png,1037.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1038.png,1038.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1039.png,1039.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/104.png,104.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1040.png,1040.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1041.png,1041.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1042.png,1042.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1043.png,1043.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1044.png,1044.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1045.png,1045.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1046.png,1046.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1047.png,1047.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1048.png,1048.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1049.png,1049.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/105.png,105.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1050.png,1050.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1051.png,1051.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1052.png,1052.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1053.png,1053.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1054.png,1054.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1055.png,1055.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1056.png,1056.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1057.png,1057.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1058.png,1058.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1059.png,1059.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/106.png,106.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1060.png,1060.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1061.png,1061.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1062.png,1062.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1063.png,1063.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1064.png,1064.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1065.png,1065.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1066.png,1066.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1067.png,1067.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1068.png,1068.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1069.png,1069.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/107.png,107.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1070.png,1070.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1071.png,1071.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1072.png,1072.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1073.png,1073.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1074.png,1074.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1075.png,1075.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1076.png,1076.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1077.png,1077.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1078.png,1078.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1079.png,1079.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/108.png,108.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1080.png,1080.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1081.png,1081.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1082.png,1082.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1083.png,1083.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1084.png,1084.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1085.png,1085.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1086.png,1086.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1087.png,1087.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1088.png,1088.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1089.png,1089.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/109.png,109.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1090.png,1090.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1091.png,1091.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1092.png,1092.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1093.png,1093.png,negative,
/root/.cache/kagglehub/datasets/hasan1101/mitosis-detection/versions/10/Negatives-100/Negatives-100/1094.png,1094.png,negative,
